case name,fixed cost natgas ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (kW),capacity factor wind series (kW),capacity natgas (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),problem status,dispatch natgas (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW),dispatch unmet demand (kW)
renew095nuc070,-1.0,0.018552265,0.01961617,0.0437040421695,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,0.0068390488499999996,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.11763729356604095,0.6010742646953486,1.4623023036054066,0.0,0.0,0.0,0.0,0.0830909838492127,optimal,0.0,0.02297770507495682,0.21533059584246436,0.7616916990825787,0.0,0.0,0.0,0.0,0.0,0.0,3.5452335047300015e-23,0.0,0.0,0.0
renew095nuc065,-1.0,0.018552265,0.01961617,0.0405823471695,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,0.00635054885,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.12898020731604026,0.0,1.6980276256134323,0.0,0.0,0.0,0.0,0.07749337953192718,optimal,0.0,0.025193279056109644,0.0,0.9748067209438903,0.0,0.0,0.0,0.0,0.0,0.0,-1.128329008663649e-20,0.0,0.0,0.0
renew095nuc060,-1.0,0.018552265,0.01961617,0.0374606521695,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,0.00586204885,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.12898020731604026,0.0,1.6980276256134323,0.0,0.0,0.0,0.0,0.0717164621000066,optimal,0.0,0.025193279056109644,0.0,0.9748067209438903,0.0,0.0,0.0,0.0,0.0,0.0,-1.128329008663649e-20,0.0,0.0,0.0
renew095nuc055,-1.0,0.018552265,0.01961617,0.0343389571695,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,0.005373548849999999,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,0.06580071766042177,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renew095nuc050,-1.0,0.018552265,0.01961617,0.031217262169500003,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,0.0048850488499999995,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,0.05981888861701109,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renew095nuc045,-1.0,0.018552265,0.01961617,0.0280955671695,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,0.004396548849999999,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,0.05383705957360041,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renew095nuc040,-1.0,0.018552265,0.01961617,0.0249738721695,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,0.00390804885,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,0.047855230530189766,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renew095nuc035,-1.0,0.018552265,0.01961617,0.0218521771695,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,0.0034195488499999998,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,0.04187340148677933,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renew095nuc030,-1.0,0.018552265,0.01961617,0.0187304821695,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,0.00293104885,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,0.035891572443368346,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renew095nuc025,-1.0,0.018552265,0.01961617,0.015608787169499998,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,0.0024425488499999998,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,0.0299097433999577,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
